event;venue;year;month;event_type;organizer;result;country;crew;boat_type;distance;age_category;gender;race_number;lane_number;stage;all comers;comment
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:39.251;China;National Team;20;200;premier;open;275;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:40.330;Thailand;National Team;20;200;premier;open;275;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:41.047;China;National Team;20;200;premier;open;221;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:41.253;Canada;National Team;20;200;premier;open;275;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:41.648;Thailand;National Team;20;200;premier;open;222;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:42.141;United States;National Team;20;200;premier;open;275;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:42.221;Canada;National Team;20;200;senior A;open;260;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:42.336;Chinese Taipei;National Team;20;200;premier;open;275;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:42.646;Canada;National Team;20;200;premier;open;222;4;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:42.728;Thailand;National Team;20;200;senior A;open;260;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:42.995;United States;National Team;20;200;senior A;open;260;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.377;Thailand;National Team;20;200;u24;open;230;5;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.382;United States;National Team;20;200;premier;open;221;4;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.395;Canada;National Team;20;200;u24;open;230;4;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.637;Thailand;National Team;20;200;u24;open;197;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.656;Italy;National Team;20;200;premier;open;275;6;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.827;Macau;National Team;20;200;premier;open;274;3;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.835;Chinese Taipei;National Team;20;200;premier;open;250;3;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.892;Chinese Taipei;National Team;20;200;premier;open;222;5;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.893;Thailand;National Team;20;200;junior A;open;240;2;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:43.908;United States;National Team;20;200;premier;open;249;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.030;Thailand;National Team;20;200;premier;mixed;188;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.095;Canada;National Team;20;200;u24;open;197;5;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.110;Czech Republic;National Team;20;200;premier;open;222;2;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.280;Thailand;National Team;20;200;junior A;open;207;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.361;Italy;National Team;20;200;premier;open;249;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.366;Hong Kong;National Team;20;200;senior A;open;260;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.474;Czech Republic;National Team;20;200;premier;open;274;4;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.519;Canada;National Team;20;200;senior A;open;200;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.609;Indonesia;National Team;20;200;premier;mixed;188;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.660;Thailand;National Team;20;200;premier;mixed;175;3;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.667;Thailand;National Team;20;200;senior A;open;200;2;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.731;China;National Team;20;200;premier;mixed;188;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.781;Philippines;National Team;20;200;premier;open;274;2;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.824;Macau;National Team;20;200;premier;open;249;5;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.923;Czech Republic;National Team;20;200;premier;open;249;4;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:44.943;China;National Team;20;200;premier;mixed;174;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.007;United States;National Team;20;200;u24;open;230;3;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.036;China;National Team;20;200;premier;mixed;137;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.157;Philippines;National Team;20;200;premier;open;221;1;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.275;Indonesia;National Team;20;200;premier;mixed;176;3;semi 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.281;Indonesia;National Team;10;200;premier;open;273;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.289;Italy;National Team;20;200;premier;open;221;6;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.297;Canada;National Team;20;200;premier;mixed;188;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.307;China;National Team;10;200;premier;open;273;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.428;China;National Team;10;200;premier;open;258;3;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.457;United States;National Team;20;200;u24;open;197;4;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.573;United States;National Team;20;200;senior A;open;201;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.718;Canada;National Team;20;200;premier;mixed;175;4;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.743;Thailand;National Team;20;200;u24;mixed;170;1;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.801;Thailand;National Team;20;200;senior A;open;232;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.806;United States;National Team;20;200;premier;mixed;188;6;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.852;Philippines;National Team;20;200;premier;open;250;4;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.927;Chinese Taipei;National Team;10;200;premier;open;257;4;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.936;Indonesia;National Team;20;200;premier;mixed;139;4;heat 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.958;Canada;National Team;20;200;premier;women;269;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.973;Germany;National Team;20;200;premier;mixed;188;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.983;Thailand;National Team;10;200;premier;open;273;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:45.989;Chinese Taipei;National Team;10;200;premier;open;273;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.015;Canada;National Team;20;200;premier;mixed;139;3;heat 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.020;Canada;National Team;20;200;u24;mixed;170;3;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.115;Great Britain;National Team;20;200;premier;open;274;5;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.121;China;National Team;20;200;premier;women;269;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.124;Canada;National Team;20;200;u24;mixed;153;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.130;Thailand;National Team;20;200;premier;mixed;138;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.134;Canada;National Team;20;200;senior A;mixed;182;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.180;Indonesia;National Team;10;200;premier;open;258;4;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.231;Hong Kong;National Team;20;200;senior A;open;232;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.234;Germany;National Team;20;200;premier;mixed;174;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.260;United States;National Team;20;200;premier;mixed;176;4;semi 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.288;Thailand;National Team;20;200;u24;mixed;153;2;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.325;Thailand;National Team;20;200;senior B;open;252;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.374;United States;National Team;20;200;premier;mixed;140;3;heat 4;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.396;Thailand;National Team;10;200;premier;open;257;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.500;Ukraine;National Team;10;200;premier;open;273;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.566;Canada;National Team;20;200;senior A;mixed;149;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.682;Thailand;National Team;20;200;premier;women;269;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.753;Germany;National Team;20;200;senior A;open;232;5;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.755;Great Britain;National Team;20;200;premier;open;250;2;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.863;Great Britain;National Team;20;200;premier;open;221;5;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.868;Philippines;National Team;20;200;senior A;open;259;3;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.870;Macau;National Team;20;200;premier;open;221;2;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.878;Philippines;National Team;20;200;senior A;open;232;4;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.894;Ukraine;National Team;20;200;premier;mixed;174;5;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.982;Canada;National Team;20;200;senior B;open;252;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:46.989;Chinese Taipei;National Team;10;200;premier;open;219;3;heat 3;;
